Mr - 5 log h,Φ(Mr - 5 log h) Raw (μ50 r < 24),Φ(Mr - 5 log h) Corrected (μ50 r < 24),Φ(Mr - 5 log h) Total,Φ(Mr - 5 log h) Uncorrected (Vmax Method)
-12.375,"(5.36 ± 2.24) × 10⁻²","(6.25 ± 2.73) × 10⁻²","(21.35 ± 8.94) × 10⁻²","(1.59 ± 1.59) × 10⁻²"
-12.625,"(1.42 ± 0.61) × 10⁻²","(1.65 ± 0.73) × 10⁻²","(5.12 ± 2.21) × 10⁻²","(9.49 ± 0.95) × 10⁻³"
-12.875,"(2.19 ± 0.54) × 10⁻²","(2.72 ± 0.68) × 10⁻²","(7.19 ± 1.79) × 10⁻²","(2.23 ± 1.29) × 10⁻²"
-13.125,"(7.25 ± 0.73) × 10⁻²","(10.52 ± 1.03) × 10⁻²","(21.87 ± 2.22) × 10⁻²","(9.57 ± 2.27) × 10⁻²"
-13.375,"(3.60 ± 0.42) × 10⁻²","(4.99 ± 0.57) × 10⁻²","(10.00 ± 1.17) × 10⁻²","(5.14 ± 1.38) × 10⁻²"
-13.625,"(5.41 ± 0.42) × 10⁻²","(7.59 ± 0.58) × 10⁻²","(13.89 ± 1.09) × 10⁻²","(8.97 ± 1.57) × 10⁻²"
-13.875,"(4.56 ± 0.33) × 10⁻²","(5.99 ± 0.44) × 10⁻²","(10.82 ± 0.79) × 10⁻²","(7.48 ± 1.20) × 10⁻²"
-14.125,"(5.69 ± 0.34) × 10⁻²","(8.07 ± 0.48) × 10⁻²","(12.55 ± 0.76) × 10⁻²","(8.52 ± 1.09) × 10⁻²"
-14.375,"(5.98 ± 0.33) × 10⁻²","(7.73 ± 0.42) × 10⁻²","(12.26 ± 0.67) × 10⁻²","(7.72 ± 0.87) × 10⁻²"
-14.625,"(6.25 ± 0.32) × 10⁻²","(8.26 ± 0.41) × 10⁻²","(11.97 ± 0.61) × 10⁻²","(6.87 ± 0.69) × 10⁻²"
-14.875,"(4.78 ± 0.25) × 10⁻²","(6.56 ± 0.34) × 10⁻²","(8.57 ± 0.45) × 10⁻²","(4.53 ± 0.47) × 10⁻²"
-15.125,"(4.49 ± 0.22) × 10⁻²","(6.07 ± 0.30) × 10⁻²","(7.57 ± 0.38) × 10⁻²","(3.88 ± 0.37) × 10⁻²"
-15.375,"(5.06 ± 0.23) × 10⁻²","(6.66 ± 0.30) × 10⁻²","(8.06 ± 0.36) × 10⁻²","(3.89 ± 0.31) × 10⁻²"
-15.625,"(3.50 ± 0.17) × 10⁻²","(4.55 ± 0.21) × 10⁻²","(5.28 ± 0.25) × 10⁻²","(2.45 ± 0.21) × 10⁻²"
-15.875,"(3.24 ± 0.14) × 10⁻²","(3.95 ± 0.18) × 10⁻²","(4.65 ± 0.21) × 10⁻²","(2.16 ± 0.17) × 10⁻²"
-16.125,"(2.91 ± 0.12) × 10⁻²","(3.60 ± 0.15) × 10⁻²","(3.98 ± 0.17) × 10⁻²","(2.14 ± 0.14) × 10⁻²"
-16.375,"(2.99 ± 0.12) × 10⁻²","(3.58 ± 0.14) × 10⁻²","(3.93 ± 0.15) × 10⁻²","(2.31 ± 0.12) × 10⁻²"
-16.625,"(2.48 ± 0.09) × 10⁻²","(2.88 ± 0.11) × 10⁻²","(3.13 ± 0.12) × 10⁻²","(2.02 ± 0.10) × 10⁻²"
-16.875,"(2.11 ± 0.08) × 10⁻²","(2.47 ± 0.09) × 10⁻²","(2.58 ± 0.09) × 10⁻²","(1.88 ± 0.08) × 10⁻²"
-17.125,"(2.12 ± 0.07) × 10⁻²","(2.46 ± 0.09) × 10⁻²","(2.52 ± 0.09) × 10⁻²","(2.05 ± 0.07) × 10⁻²"
-17.375,"(1.81 ± 0.06) × 10⁻²","(2.07 ± 0.07) × 10⁻²","(2.09 ± 0.07) × 10⁻²","(1.81 ± 0.06) × 10⁻²"
-17.625,"(1.71 ± 0.06) × 10⁻²","(1.91 ± 0.06) × 10⁻²","(1.93 ± 0.07) × 10⁻²","(1.64 ± 0.05) × 10⁻²"
-17.875,"(1.47 ± 0.05) × 10⁻²","(1.63 ± 0.05) × 10⁻²","(1.63 ± 0.06) × 10⁻²","(1.40 ± 0.04) × 10⁻²"
-18.125,"(1.38 ± 0.05) × 10⁻²","(1.51 ± 0.05) × 10⁻²","(1.51 ± 0.05) × 10⁻²","(1.37 ± 0.03) × 10⁻²"
-18.375,"(1.30 ± 0.04) × 10⁻²","(1.40 ± 0.04) × 10⁻²","(1.40 ± 0.05) × 10⁻²","(1.31 ± 0.03) × 10⁻²"
-18.625,"(1.25 ± 0.04) × 10⁻²","(1.32 ± 0.04) × 10⁻²","(1.33 ± 0.04) × 10⁻²","(1.25 ± 0.03) × 10⁻²"
-18.875,"(1.14 ± 0.04) × 10⁻²","(1.20 ± 0.04) × 10⁻²","(1.20 ± 0.04) × 10⁻²","(1.14 ± 0.02) × 10⁻²"
-19.125,"(1.03 ± 0.04) × 10⁻²","(1.07 ± 0.03) × 10⁻²","(1.08 ± 0.04) × 10⁻²","(1.03 ± 0.02) × 10⁻²"
-19.375,"(1.01 ± 0.03) × 10⁻²","(1.04 ± 0.03) × 10⁻²","(1.05 ± 0.04) × 10⁻²","(1.01 ± 0.02) × 10⁻²"
-19.625,"(8.89 ± 0.30) × 10⁻³","(9.18 ± 0.29) × 10⁻³","(9.19 ± 0.31) × 10⁻³","(8.91 ± 0.22) × 10⁻³"
-19.875,"(8.37 ± 0.29) × 10⁻³","(8.65 ± 0.28) × 10⁻³","(8.61 ± 0.29) × 10⁻³","(8.39 ± 0.21) × 10⁻³"
-20.125,"(7.10 ± 0.25) × 10⁻³","(7.27 ± 0.23) × 10⁻³","(7.28 ± 0.25) × 10⁻³","(7.12 ± 0.20) × 10⁻³"
-20.375,"(5.96 ± 0.21) × 10⁻³","(6.14 ± 0.20) × 10⁻³","(6.09 ± 0.21) × 10⁻³","(5.98 ± 0.18) × 10⁻³"
-20.625,"(5.00 ± 0.18) × 10⁻³","(5.13 ± 0.17) × 10⁻³","(5.09 ± 0.18) × 10⁻³","(5.01 ± 0.17) × 10⁻³"
-20.875,"(3.43 ± 0.13) × 10⁻³","(3.51 ± 0.12) × 10⁻³","(3.48 ± 0.13) × 10⁻³","(3.43 ± 0.14) × 10⁻³"
-21.125,"(2.42 ± 0.09) × 10⁻³","(2.48 ± 0.09) × 10⁻³","(2.44 ± 0.09) × 10⁻³","(2.42 ± 0.11) × 10⁻³"
-21.375,"(1.32 ± 0.06) × 10⁻³","(1.35 ± 0.06) × 10⁻³","(1.33 ± 0.06) × 10⁻³","(1.32 ± 0.08) × 10⁻³"
-21.625,"(6.78 ± 0.34) × 10⁻⁴","(6.89 ± 0.34) × 10⁻⁴","(6.81 ± 0.35) × 10⁻⁴","(6.78 ± 0.61) × 10⁻⁴"
-21.875,"(2.30 ± 0.17) × 10⁻⁴","(2.33 ± 0.17) × 10⁻⁴","(2.30 ± 0.17) × 10⁻⁴","(2.30 ± 0.35) × 10⁻⁴"
-22.125,"(1.48 ± 0.13) × 10⁻⁴","(1.52 ± 0.14) × 10⁻⁴","(1.48 ± 0.13) × 10⁻⁴","(1.48 ± 0.28) × 10⁻⁴"
-22.375,"(3.84 ± 0.64) × 10⁻⁵","(3.90 ± 0.66) × 10⁻⁵","(3.82 ± 0.64) × 10⁻⁵","(3.84 ± 1.45) × 10⁻⁵"
-22.625,"(5.50 ± 2.40) × 10⁻⁶","(5.54 ± 2.44) × 10⁻⁶","(5.45 ± 2.37) × 10⁻⁶","(5.51 ± 5.51) × 10⁻⁶"
