M_r,Completeness
-6.488095238095238, 0.6358225108225213
-7.023809523809525, 1.4339826839826912
-7.499999999999999, 5.63672438672441
-8.035714285714285, 13.253066378066393
-8.511904761904763, 23.13762626262627
-9.047619047619047, 34.92063492063494
-9.523809523809522, 43.290043290043286
-10, 52.41702741702743
-10.535714285714285, 60.412157287157285
-11.011904761904763, 65.75126262626262
-11.488095238095237, 72.98430735930737
-12.023809523809522, 77.57034632034632
-12.559523809523807, 77.61093073593074
-12.976190476190474, 83.70310245310245
-13.51190476190476, 85.25883838383838
-14.047619047619047, 83.02669552669552
-14.523809523809522, 84.95670995670994
-15, 85.75036075036074
-15.535714285714281, 88.4424603174603
-16.01190476190476, 97.94823232323232
