Title: The Next Generation Virgo Cluster Survey (NGVS). XIV. The Discovery 
       of Low Mass Galaxies and a New Galaxy Catalog in the Core of the 
       VIrgo Cluster  
Authors: Ferrarese L., Cote P., MacArthur L.A., Durrell P.R., Gwyn S.D., 
         Duc P.-A., Sanchez-Janssen R., Santos M., Blakeslee J.P., Boselli A., 
         Boyer F., Cantiello M., Courteau S., Cuillandre J.-C., Emsellem E., 
         Erben T., Gavazzi G., Guhathakurta P., Huertas-Company M., Jordan A.,
         Lancon A., Liu C., Mei S., Mihos J.C., Peng E.W., Puzia T.H., 
         Roediger J., Schade D., Taylor J.E., Toloba E., Zhang H. 
Table: NGVS Core Region Galaxies: Galaxy Colors
================================================================================
Byte-by-byte Description of file: apjab339ft7_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 27 A27    ---   NGVS   NGVS identifier
      29 I1     ---   Class  Membership class code (1) 
  31- 35 F5.2   mag   gmag   The g band magnitude
  37- 40 F4.2   mag   u*-g   The (u^*^ - g) color 
  42- 46 F5.2   mag   g-r    ? The (g - r) color
  48- 52 F5.2   mag   g-i    The (g - i) color
  54- 58 F5.2   mag   g-z    ? The (g - z) color
--------------------------------------------------------------------------------
Note (1): See Section 3.1.
    0 = certain member;
    1 = likely member;
    2 = possible member.
--------------------------------------------------------------------------------
NGVSJ12:26:20.07+12:30:37.1 0 18.11 1.06  0.54  0.80  0.90 
NGVSJ12:26:20.39+12:34:27.3 1 19.23 0.85  0.54  0.70  0.74 
NGVSJ12:26:22.61+12:47:11.0 0 17.66 1.05  0.54  0.79  0.89 
NGVSJ12:26:23.64+13:22:24.7 0 18.33 1.03  0.55  0.77  0.92 
NGVSJ12:26:24.04+12:25:00.5 2 21.40 1.02  0.55  0.76  0.60 
NGVSJ12:26:26.21+12:39:10.6 1 20.56 1.12  0.56  0.76  0.85 
NGVSJ12:26:26.30+11:44:08.0 2 21.34 0.93  0.56  0.82  1.51 
NGVSJ12:26:26.97+12:54:23.6 2 20.64 0.94  0.56  0.85  1.25 
NGVSJ12:26:27.83+12:45:52.7 1 20.83 1.10  0.43  0.75  0.85 
NGVSJ12:26:28.06+12:55:14.2 0 17.35 1.11  0.61  0.86  1.10 
NGVSJ12:26:31.31+12:29:32.4 2 21.82 1.04  0.52  0.72  0.71 
NGVSJ12:26:32.25+12:36:38.5 0 12.45 1.03  0.58  0.85  1.01 
NGVSJ12:26:32.68+13:25:25.8 1 20.15 0.94  0.56  0.77  1.08 
NGVSJ12:26:33.21+12:44:34.7 0 15.60 1.54  0.71  1.08  1.34 
NGVSJ12:26:35.84+13:22:44.7 2 21.35 1.01  0.55  0.87  1.06 
NGVSJ12:26:36.32+12:48:10.0 0 18.22 1.01  0.52  0.75  0.87 
NGVSJ12:26:37.74+12:43:48.1 2 22.57 1.09  0.45  0.62  0.45 
NGVSJ12:26:38.09+11:53:30.7 0 19.43 0.93  0.52  0.79  0.90 
NGVSJ12:26:38.25+13:04:44.2 1 18.64 1.06  0.52  0.72  0.80 
NGVSJ12:26:39.81+12:30:48.8 0 15.92 1.16  0.60  0.88  1.00 
NGVSJ12:26:41.15+12:50:43.5 0 17.78 1.07  0.53  0.85  0.95 
NGVSJ12:26:42.11+13:22:33.3 1 21.89 1.14  0.43  0.72  0.89 
NGVSJ12:26:43.31+12:17:44.0 1 18.74 1.00  0.50  0.76  0.73 
NGVSJ12:26:44.62+13:11:16.4 2 21.86 0.91  0.40  0.60  0.51 
NGVSJ12:26:46.58+13:16:00.6 0 18.87 1.00  0.62  0.83  1.52 
NGVSJ12:26:46.70+11:41:55.1 2 22.50 0.82  0.51  0.62  0.45 
NGVSJ12:26:47.06+12:27:14.3 0 14.57 1.20  0.66  0.98  1.19 
NGVSJ12:26:47.88+13:22:44.9 1 18.64 1.03  0.54  0.79  0.91 
NGVSJ12:26:48.25+12:31:35.8 1 20.19 1.00  0.47  0.68  0.94 
NGVSJ12:26:48.36+13:21:17.7 1 19.26 1.35  0.65  0.78  0.93 
NGVSJ12:26:48.49+12:23:59.6 1 19.54 0.85  0.52  0.77  0.88 
NGVSJ12:26:49.16+12:18:38.1 2 21.58 4.43  0.39  0.65  0.00 
NGVSJ12:26:49.59+12:10:43.0 2 20.43 1.02  0.56  0.79  0.83 
NGVSJ12:26:50.74+11:33:27.5 0 14.91 0.65  0.26  0.40  0.57 
NGVSJ12:26:50.83+13:10:36.9 0 15.26 0.46  0.18  0.24  0.33 
NGVSJ12:26:51.99+12:39:08.2 1 20.56 1.06  0.55  0.67  0.41 
NGVSJ12:26:54.36+11:39:50.2 0 14.05 1.11  0.54  0.80  0.96 
NGVSJ12:26:55.15+12:43:13.6 2 21.29 0.98  0.41  0.59  0.69 
NGVSJ12:26:55.63+12:51:33.6 1 20.60 0.85  0.45  0.70  0.75 
NGVSJ12:26:55.95+12:59:40.0 2 19.29 0.99  0.80  0.93  0.99 
NGVSJ12:26:56.47+12:57:43.3 0 18.57 0.95  0.54  0.80  0.94 
NGVSJ12:26:56.67+11:36:12.6 2 22.24 1.04  0.49  0.64  0.70 
NGVSJ12:26:57.65+12:25:16.2 1 19.81 1.10  0.60  0.85  0.96 
NGVSJ12:26:58.93+12:33:13.5 2 21.25 1.51  0.48  0.58  1.46 
NGVSJ12:26:59.05+12:30:20.5 0 16.85 1.04  0.60  0.84  1.04 
NGVSJ12:27:02.60+12:34:47.1 1 18.82 0.93  0.57  0.85  0.99 
NGVSJ12:27:03.08+12:33:38.8 0 15.15 1.13  0.61  0.89  1.05 
NGVSJ12:27:03.76+11:31:51.0 2 21.10 1.05  0.42  0.60  1.13 
NGVSJ12:27:03.81+12:51:59.2 0 18.25 1.10  0.57  0.85  0.99 
NGVSJ12:27:06.07+13:19:25.3 0 18.00 0.94  0.47  0.67  0.78 
NGVSJ12:27:08.42+13:20:08.7 0 16.39 1.10  0.58  0.83  0.98 
NGVSJ12:27:10.65+12:46:03.6 2 21.81 0.90  0.65  0.89  1.22 
NGVSJ12:27:11.20+12:06:52.3 0 18.05 0.95  0.54  0.84  0.67 
NGVSJ12:27:11.24+12:02:17.4 0 17.74 1.06  0.59  0.88  0.92 
NGVSJ12:27:12.75+13:13:14.6 1 20.83 0.88  0.52  0.70  0.74 
NGVSJ12:27:13.34+12:44:05.2 0 12.32 1.44  0.68  1.03  1.26 
NGVSJ12:27:14.21+12:54:09.6 0 20.61 0.81  0.48  0.60  0.80 
NGVSJ12:27:15.01+12:50:55.9 2 18.99 1.12  0.69  0.09 -0.05 
NGVSJ12:27:15.46+12:39:41.4 0 17.92 0.94  0.65  0.84  1.27 
NGVSJ12:27:15.46+13:24:44.8 1 19.82 0.88  0.49  0.80  0.79 
NGVSJ12:27:16.78+12:32:07.8 2 21.29 1.05  0.54  0.74  0.95 
NGVSJ12:27:19.52+12:13:15.9 1 19.70 0.87  0.59  0.72  0.83 
NGVSJ12:27:19.62+13:05:13.3 1 20.59 0.75  0.57  0.62  0.61 
